order_id,customer_id,product_id,order_date,order_quantity,total_amount,status
1,195,482,16-07-2022,4,376,Cancelled
2,1000,376,18-02-2023,20,5960,Cancelled
3,475,436,31-10-2022,8,992,Delivered
4,898,38,19-04-2023,19,3610,Cancelled
5,761,177,28-04-2023,12,288,Delivered
6,684,395,04-12-2022,3,642,Cancelled
7,648,395,20-09-2022,11,2409,Cancelled
8,717,392,23-01-2023,7,1323,Delivered
9,585,45,25-01-2023,16,2432,Delivered
10,512,245,11-06-2023,7,2198,Cancelled
11,102,382,12-01-2023,11,297,Delivered
12,862,371,26-02-2023,8,3992,Cancelled
13,6,284,18-04-2023,10,2810,Cancelled
14,880,248,10-04-2023,20,5040,Cancelled
15,907,490,22-01-2023,8,1344,Delivered
16,139,240,28-05-2023,9,774,Delivered
17,953,204,02-06-2023,8,1280,Delivered
18,249,336,07-11-2022,17,5661,Delivered
19,640,399,07-05-2023,12,2844,Delivered
20,979,265,05-11-2022,14,336,Delivered
21,854,374,27-10-2022,11,1573,Cancelled
22,692,26,24-08-2022,2,912,Cancelled
23,44,216,16-11-2022,9,2475,Cancelled
24,211,397,08-11-2022,13,1976,Delivered
25,133,92,20-02-2023,9,918,Cancelled
26,981,433,19-10-2022,12,204,Delivered
27,47,163,10-03-2023,7,1400,Delivered
28,312,496,24-04-2023,15,1995,Delivered
29,366,385,15-02-2023,10,4050,Delivered
30,920,180,24-08-2022,12,4812,Delivered
31,252,408,18-11-2022,9,2736,Cancelled
32,960,90,05-12-2022,12,5604,Cancelled
33,916,354,20-09-2022,5,2145,Delivered
34,193,114,08-09-2022,8,3840,Cancelled
35,581,198,18-05-2023,7,1995,Cancelled
36,293,222,16-10-2022,2,940,Cancelled
37,410,386,01-10-2022,4,40,Delivered
38,142,456,27-01-2023,14,1148,Cancelled
39,542,110,20-12-2022,1,184,Delivered
40,250,78,15-01-2023,12,4296,Delivered
41,41,493,08-06-2023,7,1995,Delivered
42,426,300,27-06-2023,17,5389,Cancelled
43,819,321,19-06-2023,6,2838,Cancelled
44,597,302,29-06-2023,16,3328,Delivered
45,827,265,29-01-2023,19,6346,Cancelled
46,415,7,25-06-2023,9,2115,Cancelled
